model,intervention,image_identifier,cosine_stability
resnet50,patch_shuffle,2191,0.857657790184021
resnet50,patch_shuffle,4615,0.6127405762672424
resnet50,patch_shuffle,4662,0.836857259273529
resnet50,patch_shuffle,5915,0.7829358577728271
resnet50,patch_shuffle,766,0.6816900372505188
resnet50,patch_shuffle,5218,0.7516809105873108
resnet50,patch_shuffle,2340,0.6315935254096985
resnet50,patch_shuffle,1954,0.703169047832489
resnet50,patch_shuffle,7875,0.6083362698554993
resnet50,patch_shuffle,3418,0.7512120604515076
resnet50,patch_shuffle,5572,0.7511132955551147
resnet50,patch_shuffle,5977,0.7588444948196411
resnet50,patch_shuffle,5123,0.7802920937538147
resnet50,patch_shuffle,5851,0.5755143165588379
resnet50,patch_shuffle,4094,0.7301658391952515
resnet50,patch_shuffle,4254,0.8281060457229614
resnet50,patch_shuffle,2501,0.7488533854484558
resnet50,patch_shuffle,6938,0.6922394037246704
resnet50,patch_shuffle,171,0.676102876663208
resnet50,patch_shuffle,4215,0.795232892036438
resnet50,patch_shuffle,5705,0.7310237884521484
resnet50,patch_shuffle,3458,0.584000825881958
resnet50,patch_shuffle,1220,0.6856237649917603
resnet50,patch_shuffle,962,0.8319628834724426
resnet50,patch_shuffle,2950,0.7070282697677612
resnet50,patch_shuffle,2623,0.7665984630584717
resnet50,patch_shuffle,4539,0.702185869216919
resnet50,patch_shuffle,1553,0.661135733127594
resnet50,patch_shuffle,4740,0.8185319304466248
resnet50,patch_shuffle,6844,0.8298278450965881
resnet50,patch_shuffle,2668,0.6218044757843018
resnet50,patch_shuffle,3153,0.7339782118797302
resnet50,patch_shuffle,5135,0.7158939838409424
resnet50,patch_shuffle,2291,0.5667682886123657
resnet50,patch_shuffle,116,0.6710694432258606
resnet50,patch_shuffle,7797,0.652375340461731
resnet50,patch_shuffle,4609,0.6521895527839661
resnet50,patch_shuffle,81,0.6311751008033752
resnet50,patch_shuffle,5580,0.7751874327659607
resnet50,patch_shuffle,3024,0.7041608095169067
resnet50,patch_shuffle,2766,0.6658756732940674
resnet50,patch_shuffle,5000,0.8122091293334961
resnet50,patch_shuffle,2610,0.7079654335975647
resnet50,patch_shuffle,2024,0.7958402633666992
resnet50,patch_shuffle,6097,0.8444250226020813
resnet50,patch_shuffle,964,0.6646169424057007
resnet50,patch_shuffle,7634,0.6348663568496704
resnet50,patch_shuffle,6434,0.668425440788269
resnet50,patch_shuffle,5183,0.800362229347229
resnet50,patch_shuffle,6986,0.7920902371406555
resnet50,patch_shuffle,645,0.6740036010742188
resnet50,patch_shuffle,3347,0.6368434429168701
resnet50,patch_shuffle,5677,0.728288471698761
resnet50,patch_shuffle,3412,0.7959505319595337
resnet50,patch_shuffle,3937,0.7502288818359375
resnet50,patch_shuffle,873,0.6175169944763184
resnet50,patch_shuffle,2167,0.8609079122543335
resnet50,patch_shuffle,6490,0.7503587007522583
resnet50,patch_shuffle,738,0.7022401094436646
resnet50,patch_shuffle,6616,0.7503616809844971
resnet50,patch_shuffle,4093,0.6784158945083618
resnet50,patch_shuffle,5788,0.6978247165679932
resnet50,patch_shuffle,7818,0.5992794036865234
resnet50,patch_shuffle,304,0.6692261695861816
resnet50,patch_shuffle,2082,0.8444740772247314
resnet50,patch_shuffle,2746,0.5053039193153381
resnet50,patch_shuffle,7944,0.8108106851577759
resnet50,patch_shuffle,6689,0.6556815505027771
resnet50,patch_shuffle,2414,0.7709321975708008
resnet50,patch_shuffle,3779,0.7478718757629395
